번호,메뉴,꼭 필요한 재료,있으면 좋은 재료
56,라볶이,떡 / 라면,어묵 / 대파·쪽파 / 달걀
57,쫄면,쫄면 사리,양배추 / 오이 / 당근 / 콩나물 / 달걀
58,만두,만두피 / 돼지고기,두부 / 김치 / 숙주 / 당면 / 대파·쪽파
59,칼국수,칼국수 면 / 조개,감자 / 애호박 / 양파 / 대파·쪽파
60,잔치국수,국수·소면,애호박 / 당근 / 달걀 / 김
61,쌀국수,쌀국수 면 / 소고기,양파 / 숙주 / 대파·쪽파 / 피시소스
62,팟타이,쌀국수 면 / 새우 / 달걀,두부 / 숙주 / 부추 / 피시소스
63,카레,카레 / 감자 / 양파 / 밥,당근 / 소고기 / 돼지고기
64,분짜,돼지고기 / 쌀국수 면,상추·양상추 / 오이 / 당근 / 무 / 피시소스
65,나시고렝,밥 / 달걀,닭고기 / 새우 / 양파 / 청양고추 / 오이 / 토마토
66,삼겹살,돼지고기,상추·양상추 / 깻잎 / 김치
67,갈비,소고기,양파 / 배
68,곱창,손질 곱창,양배추 / 양파 / 대파·쪽파 / 깻잎 / 떡
69,양꼬치,양고기 / 쯔란,
70,차돌박이,소고기,부추 / 양파
71,치킨,닭고기,우유
72,보쌈,돼지고기,대파·쪽파 / 양파 / 배추 / 김치
73,족발,족발용 돼지 앞다리,대파·쪽파 / 양파
74,감자탕,돼지 등뼈 / 감자,우거지 / 깻잎 / 대파·쪽파
75,닭볶음탕,닭고기 / 감자,당근 / 양파 / 대파·쪽파 / 청양고추
76,찜닭,닭고기 / 당면,감자 / 당근 / 양파 / 대파·쪽파
77,파전,대파·쪽파,달걀 / 오징어 / 새우 / 청양고추
78,아귀찜,아귀 / 콩나물,미나리 / 대파·쪽파
79,김치찜,김치 / 돼지고기,양파 / 대파·쪽파
80,마라샹궈,마라샹궈 소스,소고기 / 새우 / 감자 / 청경채 / 버섯 / 당면 / 연근
81,훠궈,훠궈 소스,소고기 / 청경채 / 배추 / 버섯 / 두부 / 어묵 / 당면
82,깐풍기,닭고기,달걀 / 대파·쪽파 / 청양고추
83,양장피,양장피,새우 / 오징어 / 돼지고기 / 오이 / 당근 / 달걀 / 버섯 / 양파 / 부추
84,딤섬,만두피 / 돼지고기 / 새우,버섯 / 대파·쪽파 / 당근
85,샤브샤브,소고기,배추 / 청경채 / 버섯 / 두부
86,스키야키,소고기,두부 / 대파·쪽파 / 배추 / 버섯 / 달걀 / 쑥갓
87,모둠 사시미,생선회,무 / 깻잎
88,오코노미야키,양배추 / 달걀,돼지고기 / 대파·쪽파 / 오코노미야키 소스
89,야키토리,닭고기 / 대파·쪽파,
90,텐동,새우 / 밥,단호박 / 가지 / 연근
91,스테이크,소고기,버터 / 버섯
92,감바스,새우,토마토 / 식빵·빵 / 브로콜리
93,라자냐,라자냐 면 / 소고기 / 토마토소스 / 치즈,양파 / 달걀
94,피시 앤 칩스,흰살생선 / 감자,
95,월남쌈,라이스페이퍼 / 새우,쌀국수 면 / 상추·양상추 / 오이 / 당근 / 파프리카
96,포케,생선회 / 밥,오이 / 양파 / 아보카도
97,두부조림,두부,대파·쪽파
98,도토리묵무침,도토리묵,상추·양상추 / 오이 / 당근
99,닭가슴살 샐러드,닭고기 / 상추·양상추,토마토 / 파프리카
102,호박죽,늙은호박 / 찹쌀,팥 / 우유
103,소고기죽,쌀 / 소고기,버섯 / 당근 / 애호박
104,계란찜,달걀,새우젓 / 대파·쪽파 / 우유
105,시금치된장국,시금치,애호박 / 멸치 / 대파·쪽파
106,콩나물국,콩나물,대파·쪽파 / 청양고추
107,소고기무국,무 / 소고기,대파·쪽파 / 다시마
108,계란국,달걀,애호박 / 대파·쪽파
109,감자국,감자,달걀 / 대파·쪽파
110,김치볶음밥,김치 / 밥,돼지고기 / 대파·쪽파 / 달걀
111,오이냉국,오이,양파 / 미역
112,와플,밀가루 / 달걀,치즈 / 우유
113,아보카도 토스트,식빵·빵 / 아보카도,달걀 / 레몬
114,에그마요 샌드위치,달걀 / 식빵·빵,마요네즈
115,프리타타,달걀,시금치 / 햄·소시지 / 치즈
116,샥슈카,달걀 / 토마토소스,양파 / 파프리카 / 치즈
117,크로크무슈,식빵·빵 / 햄·소시지 / 치즈,생크림
118,잉글리시 브렉퍼스트,달걀 / 햄·소시지,베이컨 / 버섯 / 토마토
119,감자 수프,감자 / 우유,양파 / 버터
120,양송이 수프,버섯 / 우유,생크림 / 버터 / 양파
121,해시브라운,감자,전분 / 치즈
122,바나나 스무디,바나나 / 우유,요거트 / 꿀
123,과일 샐러드,사과,마요네즈 / 요거트 / 오이
124,찐 감자,감자,
125,찐 옥수수,옥수수,
126,가래떡 구이,떡,버터
127,토마토 달걀볶음,토마토 / 달걀,대파·쪽파 / 굴소스
128,유부초밥,조미유부 / 밥,게맛살 / 달걀 / 오이
129,단호박찜,단호박,
130,두부 스크램블,두부 / 달걀,양파 / 피망
131,에그 토르티야 랩,또띠아 / 달걀,양배추
132,순두부찌개,순두부,달걀 / 애호박 / 돼지고기
133,오징어볶음,오징어,양파 / 애호박 / 당근
134,육개장,소고기 / 대파·쪽파,숙주 / 버섯 / 당면
135,설렁탕,사골육수 / 소고기,국수·소면 / 대파·쪽파
136,청국장,청국장,두부 / 김치
137,쌈밥,밥 / 배추,참치캔 / 케일
138,고등어구이,고등어,레몬
139,동태찌개,동태 / 무,두부 / 쑥갓
140,알탕,명태알,무 / 콩나물 / 쑥갓
141,돼지고기 짜글이,돼지고기 / 감자,양파 / 대파·쪽파
142,유산슬밥,달걀 / 새우,버섯 / 죽순
143,울면,중화면 / 오징어,새우 / 조개 / 달걀
144,고추잡채,돼지고기 / 피망,버섯 / 꽃빵
145,꿔바로우,돼지고기 / 전분,레몬 / 당근 / 대파·쪽파
146,유린기,닭고기 / 상추·양상추,레몬 / 양파
147,중화비빔밥,돼지고기 / 양파,해물 / 청경채 / 달걀
148,볶음짬뽕,오징어 / 새우,배추 / 버섯 / 애호박
149,천진반,달걀 / 밥,게맛살 / 대파·쪽파
150,탄탄면,중화면 / 돼지고기,땅콩버터 / 청경채 / 두반장
151,우육면,소고기 / 중화면,두반장 / 청경채 / 팔각
152,오야코동,닭고기 / 달걀,양파 / 참나물
153,가츠동,돈까스 / 달걀,양파 / 대파·쪽파
154,야키소바,중화면 / 양배추,돼지고기 / 새우 / 숙주
155,사케동,연어 / 밥,와사비 / 날치알 / 무순
156,부타동,돼지고기 / 밥,달걀 / 부추 / 대파·쪽파
157,오므라이스,달걀 / 밥,양파 / 당근 / 케첩
158,가라아게,닭고기,레몬 / 양배추 / 생강
159,규카츠,소고기 / 빵가루,달걀 / 양배추
160,치킨 난반,닭고기 / 마요네즈,쯔유 / 홀그레인 머스터드
161,카츠카레,돼지고기 / 카레,양파 / 버섯 / 빵가루
162,까르보나라,파스타면 / 달걀,베이컨 / 치즈
163,알리오 올리오,파스타면,페페론치노 / 대파·쪽파 / 치즈
164,로제 파스타,파스타면 / 토마토소스 / 생크림,새우 / 치즈
165,퀘사디아,또띠아 / 치즈,닭고기 / 파프리카 / 토마토
166,부리토,또띠아 / 소고기,밥 / 치즈
167,타코,또띠아 / 닭고기,토마토 / 상추·양상추 / 마요네즈
168,파니니,식빵·빵 / 시금치,치즈
169,그라탕,감자 / 우유,치즈 / 양파
170,필라프,쌀 / 김치,베이컨 / 버섯 / 달걀
171,핫도그,햄·소시지 / 식빵·빵,양파 / 피클
172,순대볶음,순대 / 양배추,깻잎 / 양파 / 대파·쪽파
173,모둠튀김,밀가루 / 새우,풋고추 / 연근 / 돼지고기
174,어묵탕,어묵,무 / 대파·쪽파
175,비빔국수,국수·소면,오이 / 달걀 / 사과
176,수제비,밀가루 / 감자,애호박 / 멸치
177,라면,라면,배추 / 대파·쪽파
178,떡꼬치,떡,케첩 / 꿀
179,콩국수,검은콩 / 국수·소면,오이 / 잣 / 토마토
180,떡만둣국,떡 / 만두,소고기 / 달걀 / 대파·쪽파
181,고로케,감자 / 밀가루,햄·소시지 / 당근 / 빵가루
182,반미,식빵·빵 / 돼지고기,당근 / 무 / 고수 / 달걀
183,똠얌꿍,새우 / 똠얌 페이스트,레몬그라스 / 버섯 / 코코넛밀크
184,가파오라이스,돼지고기 / 바질,달걀 / 피시소스 / 홍고추
185,카오팟,밥 / 달걀,새우 / 숙주 / 피시소스
186,미고렝,에그누들,새우 / 닭고기 / 청경채
187,락사,코코넛밀크 / 새우,쌀국수 / 숙주 / 레몬그라스
188,그린커리,그린커리 페이스트 / 코코넛밀크,닭고기 / 가지 / 바질
189,반쎄오,쌀가루 / 숙주,새우 / 돼지고기 / 라이스페이퍼
190,버터치킨 커리,닭고기 / 홀토마토 / 생크림,요거트 / 버터 / 가람마살라
191,하이난 치킨라이스,닭고기 / 쌀,생강 / 대파·쪽파 / 홍고추
192,떡갈비,소고기 / 돼지고기,양파 / 대파·쪽파 / 찹쌀가루
193,등갈비찜,등갈비,케첩 / 돈가스소스 / 굴소스
194,훈제오리 볶음,훈제오리,부추 / 파프리카 / 양파
195,목살 스테이크,돼지고기,단호박 / 버터 / 케첩
196,고추장 불고기,돼지고기,양파 / 대파·쪽파
197,육회,소고기,배 / 달걀 / 대파·쪽파
198,닭발,닭발,고춧가루 / 청양고추
199,막창 구이,막창,양파 / 대파·쪽파
200,돼지갈비,돼지고기,청주
201,소고기 주물럭,소고기,버섯 / 양파 / 배즙
202,갈비찜,소고기 / 무,당근 / 밤 / 대추
203,고등어조림,고등어 / 무,양파 / 대파·쪽파
204,닭한마리,닭고기 / 감자,떡 / 대파·쪽파
205,해물탕,꽃게 / 조개,새우 / 낙지 / 콩나물
206,낙지볶음,낙지,양파 / 대파·쪽파
207,김치전,김치,두부 / 돼지고기 / 달걀
208,매운탕,생선,두부 / 쑥갓 / 미나리
209,버섯전골,버섯 / 소고기,배추 / 대파·쪽파
210,잡채,당면,돼지고기 / 양파 / 당근 / 부추
211,두부김치,두부 / 김치,돼지고기 / 양파
212,팔보채,새우 / 오징어,관자 / 청경채 / 죽순
213,깐쇼새우,새우 / 케첩,두반장 / 달걀
214,동파육,돼지고기,청경채 / 흑초 / 정향
215,멘보샤,식빵·빵 / 새우,케첩 / 달걀
216,경장육슬,돼지고기 / 춘장,대파·쪽파 / 버섯 / 죽순
217,어향가지,가지,대파·쪽파 / 청양고추 / 전분
218,라조기,닭고기 / 건고추,피망 / 버섯 / 죽순
219,크림새우,새우 / 마요네즈,레몬 / 생크림 / 상추·양상추
220,난자완스,동그랑땡,청경채 / 버섯 / 죽순
221,궁보계정,닭고기 / 땅콩,피망 / 파프리카 / 건고추
222,타코야키,밀가루 / 문어,가쓰오부시 / 마요네즈
223,모츠나베,대창 / 양배추,부추 / 두부
224,데리야키 치킨,닭고기,양배추 / 달걀 / 버터
225,차완무시,달걀,새우 / 쯔유
226,장어덮밥,장어,깻잎 / 달걀 / 생강
227,돈카츠 김치나베,돈까스 / 김치,양파 / 달걀 / 버섯
228,밀푀유나베,소고기 / 배추 / 깻잎,숙주 / 버섯
229,교자,돼지고기 / 만두피,부추 / 양배추
230,니쿠자가,소고기 / 감자,당근 / 양파 / 곤약
231,오차즈케,밥 / 명란젓,녹차 / 와사비 / 대파·쪽파
232,함박스테이크,소고기 / 돼지고기,양파 / 빵가루 / 달걀
233,바비큐 폭립,등갈비,케첩 / 디종 머스터드 / 흑설탕
234,연어 스테이크,연어,꽈리고추
235,치킨 스테이크,닭고기,토마토 / 샐러드 채소
236,뇨끼,감자 / 밀가루,생크림 / 베이컨 / 버섯
237,라따뚜이,가지 / 애호박 / 토마토,파프리카 / 양파
238,비프 스튜,소고기 / 홀토마토,감자 / 당근 / 양파
239,파에야,쌀 / 새우,조개 / 오징어 / 닭고기
240,로스트 치킨,닭고기,버터 / 감자
241,봉골레 파스타,파스타면 / 조개,화이트와인 / 미나리
242,두부 스테이크,두부,버섯 / 양파
243,카프레제 샐러드,토마토 / 치즈,발사믹 식초 / 바질 / 올리브
244,가지구이,가지,치즈 / 토마토
245,양배추 롤,양배추 / 돼지고기,토마토소스 / 양파 / 달걀
246,곤약 비빔국수,곤약면,오이 / 깻잎
247,연어 샐러드,훈제연어,어린잎 채소 / 토마토 / 양파
248,두부면 파스타,두부면,베이컨 / 토마토소스 / 우유
249,콥 샐러드,달걀 / 상추·양상추,햄·소시지 / 옥수수콘 / 요거트
250,양배추 참치 덮밥,양배추 / 참치캔,대파·쪽파 / 청양고추
251,버섯 샐러드,버섯,새싹채소 / 레몬 / 양파
